COM	time	Objecttyp	Order Nr(A)
GEN			
0	1	1	
0	2	2	
0	3	3	
0	4	4	
0	5	5	
0	6	6	
0	7	7	
0	8	8	
0	9	9	
0	10	10	
600	11	11	
600	12	12	
600	13	13	
600	14	14	
600	15	15	
600	16	16	
600	17	17	
600	18	18	
600	19	19	
600	20	20	
1200	21	21	
1200	22	22	
1200	23	23	
1200	24	24	
1200	25	25	
1200	26	26	
1200	27	27	
1200	28	28	
1200	29	29	
1200	30	30	
1800	31	31	
1800	32	32	
1800	33	33	
1800	34	34	
1800	35	35	
1800	36	36	
1800	37	37	
1800	38	38	
1800	39	39	
1800	40	40	
2400	41	41	
2400	42	42	
2400	43	43	
2400	44	44	
2400	45	45	
2400	46	46	
2400	47	47	
2400	48	48	
2400	49	49	
2400	50	50	
3000	51	51	
3000	52	52	
3000	53	53	
3000	54	54	
3000	55	55	
3000	56	56	
3000	57	57	
3000	58	58	
3000	59	59	
3000	60	60	
3600	61	61	
3600	62	62	
3600	63	63	
3600	64	64	
3600	65	65	
3600	66	66	
3600	67	67	
3600	68	68	
3600	69	69	
3600	70	70	
4200	71	71	
4200	72	72	
4200	73	73	
4200	74	74	
4200	75	75	
4200	76	76	
4200	77	77	
4200	78	78	
4200	79	79	
4200	80	80	
4800	81	81	
4800	82	82	
4800	83	83	
4800	84	84	
4800	85	85	
4800	86	86	
4800	87	87	
4800	88	88	
4800	89	89	
4800	90	90	
5400	91	91	
5400	92	92	
5400	93	93	
5400	94	94	
5400	95	95	
5400	96	96	
5400	97	97	
5400	98	98	
5400	99	99	
5400	100	100	
6000	101	101	
6000	102	102	
6000	103	103	
6000	104	104	
6000	105	105	
6000	106	106	
6000	107	107	
6000	108	108	
6000	109	109	
6000	110	110	
6600	111	111	
6600	112	112	
6600	113	113	
6600	114	114	
6600	115	115	
6600	116	116	
6600	117	117	
6600	118	118	
6600	119	119	
6600	120	120	
7200	121	121	
7200	122	122	
7200	123	123	
7200	124	124	
7200	125	125	
7200	126	126	
7200	127	127	
7200	128	128	
7200	129	129	
7200	130	130	
7800	131	131	
7800	132	132	
7800	133	133	
7800	134	134	
7800	135	135	
7800	136	136	
7800	137	137	
7800	138	138	
7800	139	139	
7800	140	140	
8400	141	141	
8400	142	142	
8400	143	143	
8400	144	144	
8400	145	145	
8400	146	146	
8400	147	147	
8400	148	148	
8400	149	149	
8400	150	150	
9000	151	151	
9000	152	152	
9000	153	153	
9000	154	154	
9000	155	155	
9000	156	156	
9000	157	157	
9000	158	158	
9000	159	159	
9000	160	160	
9600	161	161	
9600	162	162	
9600	163	163	
9600	164	164	
9600	165	165	
9600	166	166	
9600	167	167	
9600	168	168	
9600	169	169	
9600	170	170	
10200	171	171	
10200	172	172	
10200	173	173	
10200	174	174	
10200	175	175	
10200	176	176	
