COM	time	Objecttyp	Order Nr(A)
GEN			
0	1	1	
0	2	2	
0	3	3	
0	4	4	
0	5	5	
0	6	6	
0	7	7	
0	8	8	
0	9	9	
0	10	10	
0	11	11	
0	12	12	
600	13	13	
600	14	14	
600	15	15	
600	16	16	
600	17	17	
600	18	18	
600	19	19	
600	20	20	
600	21	21	
600	22	22	
600	23	23	
600	24	24	
1200	25	25	
1200	26	26	
1200	27	27	
1200	28	28	
1200	29	29	
1200	30	30	
1200	31	31	
1200	32	32	
1200	33	33	
1200	34	34	
1200	35	35	
1200	36	36	
1800	37	37	
1800	38	38	
1800	39	39	
1800	40	40	
1800	41	41	
1800	42	42	
1800	43	43	
1800	44	44	
1800	45	45	
1800	46	46	
1800	47	47	
1800	48	48	
2400	49	49	
2400	50	50	
2400	51	51	
2400	52	52	
2400	53	53	
2400	54	54	
2400	55	55	
2400	56	56	
2400	57	57	
2400	58	58	
2400	59	59	
2400	60	60	
3000	61	61	
3000	62	62	
3000	63	63	
3000	64	64	
3000	65	65	
3000	66	66	
3000	67	67	
3000	68	68	
3000	69	69	
3000	70	70	
3000	71	71	
3000	72	72	
3600	73	73	
3600	74	74	
3600	75	75	
3600	76	76	
3600	77	77	
3600	78	78	
3600	79	79	
3600	80	80	
3600	81	81	
3600	82	82	
3600	83	83	
3600	84	84	
4200	85	85	
4200	86	86	
4200	87	87	
4200	88	88	
4200	89	89	
4200	90	90	
4200	91	91	
4200	92	92	
4200	93	93	
4200	94	94	
4200	95	95	
4200	96	96	
4800	97	97	
4800	98	98	
4800	99	99	
4800	100	100	
4800	101	101	
4800	102	102	
4800	103	103	
4800	104	104	
4800	105	105	
4800	106	106	
4800	107	107	
4800	108	108	
5400	109	109	
5400	110	110	
5400	111	111	
5400	112	112	
5400	113	113	
5400	114	114	
5400	115	115	
5400	116	116	
5400	117	117	
5400	118	118	
5400	119	119	
5400	120	120	
6000	121	121	
6000	122	122	
6000	123	123	
6000	124	124	
6000	125	125	
6000	126	126	
6000	127	127	
6000	128	128	
6000	129	129	
6000	130	130	
6000	131	131	
6000	132	132	
6600	133	133	
6600	134	134	
6600	135	135	
6600	136	136	
6600	137	137	
6600	138	138	
6600	139	139	
6600	140	140	
6600	141	141	
6600	142	142	
6600	143	143	
6600	144	144	
7200	145	145	
7200	146	146	
7200	147	147	
7200	148	148	
7200	149	149	
7200	150	150	
7200	151	151	
7200	152	152	
7200	153	153	
7200	154	154	
7200	155	155	
7200	156	156	
7800	157	157	
7800	158	158	
7800	159	159	
7800	160	160	
7800	161	161	
7800	162	162	
7800	163	163	
7800	164	164	
7800	165	165	
7800	166	166	
7800	167	167	
7800	168	168	
8400	169	169	
8400	170	170	
8400	171	171	
8400	172	172	
8400	173	173	
8400	174	174	
8400	175	175	
8400	176	176	
