FLAGS,VOR-,ETT+,BST+,KNO-,OID-,ERR-,0,0
0.0,B,1,B+,1,1,1,,
0.0,B,1,OW,,,,,
0.0,B,1,B-,1,1,1,,
0.0,B,4,B+,1,1,1,,
0.0,B,1,B+,2,2,1,,
0.0,B,1,BO,0,,,,
0.0,B,4,BI,0,,,,
0.0,B,4,AB,1,1,,,
0.0,B,1,B+,3,3,1,,
0.0,B,1,OW,,,,,
0.0,B,1,B+,4,4,1,,
0.0,B,1,B+,5,5,1,,
0.0,B,1,B+,6,6,1,,
0.0,B,1,B+,7,7,1,,
0.0,B,1,B+,8,8,1,,
0.0,B,1,B+,9,9,1,,
0.0,B,1,B+,10,10,1,,
0.0,B,1,B+,11,11,1,,
0.0,B,1,B+,12,12,1,,
0.0,B,1,B+,13,13,1,,
0.0,B,1,B+,14,14,1,,
7.7,B,4,AE,1,1,,,
7.7,B,4,OW,,,,,
7.7,B,4,B-,1,1,1,,
7.7,B,5,B+,1,1,1,,
7.7,B,1,B-,2,2,1,,
7.7,B,4,B+,2,2,1,,
7.7,B,1,BO,0,,,,
7.7,B,4,BI,0,,,,
7.7,B,4,AB,2,2,,,
7.7,B,1,OW,,,,,
9.1,B,4,BO,0,,,,
9.1,B,5,BI,0,,,,
14.7,B,5,OW,,,,,
14.7,B,5,B-,1,1,1,,
14.7,B,6,B+,1,1,1,,
14.7,B,5,BO,0,,,,
14.7,B,6,BI,0,,,,
14.7,B,6,AB,1,1,,,
18.2,B,4,AE,2,2,,,
18.2,B,4,OW,,,,,
18.2,B,4,B-,2,2,1,,
18.2,B,5,B+,2,2,1,,
18.2,B,1,B-,3,3,1,,
18.2,B,4,B+,3,3,1,,
18.2,B,1,BO,0,,,,
18.2,B,4,BI,0,,,,
18.2,B,4,AB,3,3,,,
18.2,B,1,OW,,,,,
19.6,B,4,BO,0,,,,
19.6,B,5,BI,0,,,,
20.4,B,4,AE,3,3,,,
20.4,B,4,OW,,,,,
20.4,B,4,B-,3,3,1,,
20.4,B,5,B+,3,3,1,,
20.4,B,1,B-,4,4,1,,
20.4,B,4,B+,4,4,1,,
20.4,B,1,BO,0,,,,
20.4,B,4,BI,0,,,,
20.4,B,4,AB,4,4,,,
20.4,B,1,OW,,,,,
21.8,B,4,BO,0,,,,
21.8,B,5,BI,0,,,,
25.3,B,5,OW,,,,,
30.4,B,4,AE,4,4,,,
30.4,B,4,OW,,,,,
53.8,B,6,AE,1,1,,,
53.8,B,6,OW,,,,,
53.8,B,6,B-,1,1,1,,
53.8,B,7,B+,1,1,1,,
53.8,B,5,B-,2,2,1,,
53.8,B,6,B+,2,2,1,,
53.8,B,4,B-,4,4,1,,
53.8,B,5,B+,4,4,1,,
53.8,B,5,BO,0,,,,
53.8,B,6,BI,0,,,,
53.8,B,6,AB,2,2,,,
53.8,B,1,B-,5,5,1,,
53.8,B,4,B+,5,5,1,,
53.8,B,1,BO,0,,,,
53.8,B,4,BI,0,,,,
53.8,B,4,AB,5,5,,,
53.8,B,1,OW,,,,,
55.2,B,6,BO,0,,,,
55.2,B,7,BI,0,,,,
55.2,B,4,BO,0,,,,
55.2,B,5,BI,0,,,,
55.9,B,5,OW,,,,,
60.8,B,7,OW,,,,,
60.8,B,7,B-,1,1,1,,
60.8,B,8,B+,1,1,1,,
60.8,B,7,BO,0,,,,
60.8,B,8,BI,0,,,,
60.8,B,8,OW,,,,,
60.8,B,8,B-,1,1,1,,
60.8,B,9,B+,1,1,1,,
60.8,B,8,BO,0,,,,
60.8,B,9,BI,0,,,,
60.8,B,9,AB,1,1,,,
65.7,B,4,AE,5,5,,,
65.7,B,4,OW,,,,,
98.2,B,6,AE,2,2,,,
98.2,B,6,OW,,,,,
98.2,B,6,B-,2,2,1,,
98.2,B,7,B+,2,2,1,,
98.2,B,5,B-,3,3,1,,
98.2,B,6,B+,3,3,1,,
98.2,B,4,B-,5,5,1,,
98.2,B,5,B+,5,5,1,,
98.2,B,5,BO,0,,,,
98.2,B,6,BI,0,,,,
98.2,B,6,AB,3,3,,,
98.2,B,1,B-,6,6,1,,
98.2,B,4,B+,6,6,1,,
98.2,B,1,BO,0,,,,
98.2,B,4,BI,0,,,,
98.2,B,4,AB,6,6,,,
98.2,B,1,OW,,,,,
99.6,B,6,BO,0,,,,
