Time,object,time in min,Total time spent
1261,1,21,1261
1283,2,21,1283
1381,4,23,1381
1425,5,23,1425
1495,3,24,1495
1524,9,25,1524
1630,6,27,1630
1771,7,29,1771
1792,8,29,1792
1844,11,30,1844
1889,12,31,1889
1969,13,32,1969
2075,10,34,1475
2081,15,34,1481
2139,14,35,1539
2191,16,36,1591
2261,19,37,1661
2293,17,38,1693
2392,21,39,1792
2396,18,39,1796
2664,20,44,2064
2703,23,45,2103
2705,22,45,2105
2706,24,45,2106
2861,30,47,1661
2874,26,47,1674
2880,28,48,1680
2949,25,49,1749
3041,32,50,1841
3081,29,51,1881
3083,27,51,1883
3162,31,52,1962
3182,34,53,1982
3327,33,55,2127
3334,36,55,2134
3372,35,56,2172
3516,40,58,1716
3556,37,59,1756
3741,41,62,1941
3756,38,62,1956
3778,39,62,1978
3989,42,66,2189
4084,44,68,2284
4135,45,68,2335
4235,43,70,2435
4362,49,72,2562
4409,46,73,2609
4443,48,74,2643
4500,50,75,2100
4582,47,76,2182
4741,52,79,2341
4773,53,79,2373
4815,54,80,2415
4964,51,82,2564
5091,56,84,2691
5145,55,85,2745
5205,58,86,2805
5262,57,87,2862
5302,59,88,2902
5371,61,89,2971
5483,63,91,2483
5484,64,91,2484
5530,65,92,2530
5537,62,92,2537
5621,60,93,2621
5718,66,95,2718
5752,69,95,2752
5791,68,96,2791
6005,67,100,3005
6065,70,101,3065
6093,71,101,3093
6094,72,101,3094
6193,73,103,2593
6336,75,105,2736
6337,74,105,2737
6405,76,106,2805
6479,77,107,2879
6526,78,108,2926
6670,79,111,3070
6686,80,111,3086
6758,81,112,3158
6801,82,113,3201
6850,85,114,3250
6880,84,114,3280
6957,87,115,2757
6960,83,116,2760
7026,88,117,2826
7058,86,117,2858
7119,93,118,2919
7183,94,119,2983
7213,89,120,3013
7227,91,120,3027
7328,90,122,3128
7379,92,122,3179
7485,97,124,3285
7548,96,125,3348
7598,95,126,2798
7704,101,128,2904
7761,98,129,2961
7880,102,131,3080
7925,100,132,3125
7953,99,132,3153
7983,103,133,3183
8005,104,133,3205
8195,108,136,3395
8322,105,138,3522
8375,110,139,3575
8386,106,139,3586
8401,107,140,3001
8539,109,142,3139
8590,113,143,3190
8681,114,144,3281
8712,111,145,3312
8757,116,145,3357
8940,112,149,3540
8986,117,149,3586
9064,115,151,3664
9080,119,151,3680
9135,121,152,3735
9189,118,153,3789
9201,123,153,3201
9270,120,154,3270
9325,126,155,3325
9372,124,156,3372
9385,122,156,3385
9430,129,157,3430
9509,125,158,3509
9610,128,160,3610
9625,131,160,3625
9637,132,160,3637
9735,130,162,3735
9808,135,163,3808
9812,127,163,3212
9836,133,163,3236
9901,134,165,3301
9930,137,165,3330
10018,136,166,3418
10053,140,167,3453
10090,143,168,3490
10098,138,168,3498
10185,142,169,3585
10233,141,170,3633
10268,139,171,3668
10315,144,171,3715
10364,148,172,3164
10399,147,173,3199
10411,146,173,3211
10446,145,174,3246
10563,150,176,3363
10596,151,176,3396
10657,152,177,3457
10713,149,178,3513
10770,153,179,3570
10787,155,179,3587
10866,154,181,3666
10914,156,181,3714
11022,159,183,3222
11083,157,184,3283
11158,158,185,3358
11168,161,186,3368
11172,160,186,3372
11276,162,187,3476
11442,166,190,3642
11475,163,191,3675
11496,165,191,3696
11520,164,192,3720
11614,168,193,3814
11663,169,194,3863
11667,167,194,3267
11789,171,196,3389
11851,170,197,3451
11907,172,198,3507
11957,173,199,3557
11975,177,199,3575
12090,175,201,3690
12095,176,201,3695
12117,174,201,3717
12310,181,205,3910
12404,178,206,4004
12514,180,208,4114
12522,179,208,3522
12530,182,208,3530
12633,183,210,3633
12803,186,213,3803
12847,187,214,3847
12889,185,214,3889
12998,189,216,3998
13041,184,217,4041
13104,188,218,4104
13170,190,219,4170
13269,192,221,4269
13347,193,222,4347
13367,194,222,3767
13402,191,223,3802
13454,198,224,3854
13541,199,225,3941
13577,197,226,3977
13621,200,227,4021
13640,196,227,4040
13736,195,228,4136
13840,201,230,4240
13878,202,231,4278
13996,203,233,4396
14017,204,233,4417
14143,208,235,3943
14236,207,237,4036
14347,205,239,4147
14353,212,239,4153
14354,206,239,4154
14447,209,240,4247
14479,210,241,4279
14513,211,241,4313
14524,213,242,4324
14617,215,243,4417
14628,214,243,4428
14715,216,245,4515
14723,218,245,3923
14789,220,246,3989
14796,217,246,3996
14891,219,248,4091
14917,222,248,4117
15007,221,250,4207
15018,225,250,4218
15165,226,252,4365
15185,223,253,4385
15197,224,253,4397
15257,227,254,4457
15379,228,256,4579
15510,231,258,4110
15556,229,259,4156
15591,230,259,4191
15607,232,260,4207
15746,236,262,4346
15758,235,262,4358
15796,234,263,4396
15858,233,264,4458
15999,237,266,4599
16101,239,268,4701
16214,238,270,4814
16245,240,270,4845
16359,241,272,4359
16365,242,272,4365
16657,245,277,4657
16666,243,277,4666
16670,244,277,4670
16777,247,279,4777
16813,249,280,4813
16831,246,280,4831
16862,250,281,4862
17004,248,283,5004
17039,251,283,5039
17121,254,285,5121
17131,255,285,4531
17259,252,287,4659
17281,253,288,4681
17311,256,288,4711
17436,257,290,4836
17466,259,291,4866
17479,258,291,4879
17517,263,291,4917
17657,262,294,5057
17676,260,294,5076
17752,261,295,5152
17876,264,297,5276
17877,267,297,4677
17930,265,298,4730
18040,268,300,4840
18155,270,302,4955
18171,266,302,4971
18228,269,303,5028
18282,272,304,5082
18349,273,305,5149
18350,274,305,5150
18404,271,306,5204
18510,278,308,5310
18522,277,308,5322
18646,275,310,4846
18691,279,311,4891
18714,276,311,4914
18783,282,313,4983
18797,280,313,4997
18884,281,314,5084
18995,284,316,5195
19060,286,317,5260
19061,283,317,5261
19119,285,318,5319
19154,287,319,5354
19245,288,320,5445
19419,290,323,5019
19456,291,324,5056
19460,292,324,5060
19505,289,325,5105
19598,294,326,5198
19614,295,326,5214
19655,293,327,5255
19758,296,329,5358
19783,299,329,5383
19813,297,330,5413
19848,298,330,5448
19936,302,332,5536
20083,300,334,5083
20172,305,336,5172
20207,304,336,5207
20210,303,336,5210
20362,306,339,5362
20373,301,339,5373
20459,307,340,5459
