COM	time	Objecttyp	Order Nr(A)
GEN			
0	1	1	
0	2	2	
0	3	3	
0	4	4	
0	5	5	
0	6	6	
0	7	7	
0	8	8	
600	9	9	
600	10	10	
600	11	11	
600	12	12	
600	13	13	
600	14	14	
600	15	15	
600	16	16	
1200	17	17	
1200	18	18	
1200	19	19	
1200	20	20	
1200	21	21	
1200	22	22	
1200	23	23	
1200	24	24	
1800	25	25	
1800	26	26	
1800	27	27	
1800	28	28	
1800	29	29	
1800	30	30	
1800	31	31	
1800	32	32	
2400	33	33	
2400	34	34	
2400	35	35	
2400	36	36	
2400	37	37	
2400	38	38	
2400	39	39	
2400	40	40	
3000	41	41	
3000	42	42	
3000	43	43	
3000	44	44	
3000	45	45	
3000	46	46	
3000	47	47	
3000	48	48	
3600	49	49	
3600	50	50	
3600	51	51	
3600	52	52	
3600	53	53	
3600	54	54	
3600	55	55	
3600	56	56	
4200	57	57	
4200	58	58	
4200	59	59	
4200	60	60	
4200	61	61	
4200	62	62	
4200	63	63	
4200	64	64	
4800	65	65	
4800	66	66	
4800	67	67	
4800	68	68	
4800	69	69	
4800	70	70	
4800	71	71	
4800	72	72	
5400	73	73	
5400	74	74	
5400	75	75	
5400	76	76	
5400	77	77	
5400	78	78	
5400	79	79	
5400	80	80	
6000	81	81	
6000	82	82	
6000	83	83	
6000	84	84	
6000	85	85	
6000	86	86	
6000	87	87	
6000	88	88	
6600	89	89	
6600	90	90	
6600	91	91	
6600	92	92	
6600	93	93	
6600	94	94	
6600	95	95	
6600	96	96	
7200	97	97	
7200	98	98	
7200	99	99	
7200	100	100	
7200	101	101	
7200	102	102	
7200	103	103	
7200	104	104	
7800	105	105	
7800	106	106	
7800	107	107	
7800	108	108	
7800	109	109	
7800	110	110	
7800	111	111	
7800	112	112	
8400	113	113	
8400	114	114	
8400	115	115	
8400	116	116	
8400	117	117	
8400	118	118	
8400	119	119	
8400	120	120	
9000	121	121	
9000	122	122	
9000	123	123	
9000	124	124	
9000	125	125	
9000	126	126	
9000	127	127	
9000	128	128	
9600	129	129	
9600	130	130	
9600	131	131	
9600	132	132	
9600	133	133	
9600	134	134	
9600	135	135	
9600	136	136	
10200	137	137	
10200	138	138	
10200	139	139	
10200	140	140	
10200	141	141	
10200	142	142	
10200	143	143	
10200	144	144	
10800	145	145	
10800	146	146	
10800	147	147	
10800	148	148	
10800	149	149	
10800	150	150	
10800	151	151	
10800	152	152	
11400	153	153	
11400	154	154	
11400	155	155	
11400	156	156	
11400	157	157	
11400	158	158	
11400	159	159	
11400	160	160	
12000	161	161	
12000	162	162	
12000	163	163	
12000	164	164	
12000	165	165	
12000	166	166	
12000	167	167	
12000	168	168	
12600	169	169	
12600	170	170	
12600	171	171	
12600	172	172	
12600	173	173	
12600	174	174	
12600	175	175	
