COM	time	Objecttyp	Order Nr(A)
GEN			
0	1	1	
0	2	2	
0	3	3	
0	4	4	
0	5	5	
0	6	6	
0	7	7	
0	8	8	
0	9	9	
0	10	10	
0	11	11	
0	12	12	
0	13	13	
0	14	14	
600	15	15	
600	16	16	
600	17	17	
600	18	18	
600	19	19	
600	20	20	
600	21	21	
600	22	22	
600	23	23	
600	24	24	
600	25	25	
600	26	26	
600	27	27	
600	28	28	
1200	29	29	
1200	30	30	
1200	31	31	
1200	32	32	
1200	33	33	
1200	34	34	
1200	35	35	
1200	36	36	
1200	37	37	
1200	38	38	
1200	39	39	
1200	40	40	
1200	41	41	
1200	42	42	
1800	43	43	
1800	44	44	
1800	45	45	
1800	46	46	
1800	47	47	
1800	48	48	
1800	49	49	
1800	50	50	
1800	51	51	
1800	52	52	
1800	53	53	
1800	54	54	
1800	55	55	
1800	56	56	
2400	57	57	
2400	58	58	
2400	59	59	
2400	60	60	
2400	61	61	
2400	62	62	
2400	63	63	
2400	64	64	
2400	65	65	
2400	66	66	
2400	67	67	
2400	68	68	
2400	69	69	
2400	70	70	
3000	71	71	
3000	72	72	
3000	73	73	
3000	74	74	
3000	75	75	
3000	76	76	
3000	77	77	
3000	78	78	
3000	79	79	
3000	80	80	
3000	81	81	
3000	82	82	
3000	83	83	
3000	84	84	
3600	85	85	
3600	86	86	
3600	87	87	
3600	88	88	
3600	89	89	
3600	90	90	
3600	91	91	
3600	92	92	
3600	93	93	
3600	94	94	
3600	95	95	
3600	96	96	
3600	97	97	
3600	98	98	
4200	99	99	
4200	100	100	
4200	101	101	
4200	102	102	
4200	103	103	
4200	104	104	
4200	105	105	
4200	106	106	
4200	107	107	
4200	108	108	
4200	109	109	
4200	110	110	
4200	111	111	
4200	112	112	
4800	113	113	
4800	114	114	
4800	115	115	
4800	116	116	
4800	117	117	
4800	118	118	
4800	119	119	
4800	120	120	
4800	121	121	
4800	122	122	
4800	123	123	
4800	124	124	
4800	125	125	
4800	126	126	
5400	127	127	
5400	128	128	
5400	129	129	
5400	130	130	
5400	131	131	
5400	132	132	
5400	133	133	
5400	134	134	
5400	135	135	
5400	136	136	
5400	137	137	
5400	138	138	
5400	139	139	
5400	140	140	
6000	141	141	
6000	142	142	
6000	143	143	
6000	144	144	
6000	145	145	
6000	146	146	
6000	147	147	
6000	148	148	
6000	149	149	
6000	150	150	
6000	151	151	
6000	152	152	
6000	153	153	
6000	154	154	
6600	155	155	
6600	156	156	
6600	157	157	
6600	158	158	
6600	159	159	
6600	160	160	
6600	161	161	
6600	162	162	
6600	163	163	
6600	164	164	
6600	165	165	
6600	166	166	
6600	167	167	
6600	168	168	
7200	169	169	
7200	170	170	
7200	171	171	
7200	172	172	
7200	173	173	
7200	174	174	
7200	175	175	
7200	176	176	
7200	177	177	
